Term,Hits,Is Target ?
Q68BL8,15,TRUE
,,
Q8IZ57,15,TRUE
,,
Q9BY12,15,TRUE
,,
Q9BY42,15,TRUE
,,
Q9NX02,15,TRUE
,,
Q9Y3A5,15,TRUE
,,
R-MMU-72706,15,FALSE
,,
Smoc2,15,TRUE
,,
Solanum Lycopersicum,15,FALSE
,,
spic,15,TRUE
,,
TNPO3,15,TRUE
,,
TSPAN8,15,TRUE
,,
VAX2,15,TRUE
,,
ZBTB18,15,TRUE
,,
A0A0B4J248,16,TRUE
,,
GABRD,16,TRUE
,,
HSPB6,16,TRUE
,,
LUZP2,16,TRUE
,,
neat1,16,FALSE
,,
Npas3,16,TRUE
,,
O43719,16,TRUE
,,
O75112,16,TRUE
,,
O95672,16,TRUE
,,
PTP4A3,16,TRUE
,,
Q04771,16,TRUE
,,
Q08AI6,16,TRUE
,,
Q12946,16,TRUE
,,
Q496A3,16,TRUE
,,
Q5VW36,16,TRUE
,,
Q96RL7,16,TRUE
,,
Q9BWV3,16,TRUE
,,
Q9BZW5,16,TRUE
,,
Q9NYQ6,16,TRUE
,,
Q9UNK9,16,TRUE
,,
Q9UPZ3,16,TRUE
,,
SULF1,16,TRUE
,,
TBX20,16,TRUE
,,
ZBED3,16,TRUE
,,
ZFP36L2,16,TRUE
,,
BTBD10,17,TRUE
,,
card14,17,TRUE
,,
EFR3A,17,TRUE
,,
ESPN,17,TRUE
,,
FOXD1,17,TRUE
,,
NEFH,17,TRUE
,,
O43405,17,TRUE
,,
P22676,17,TRUE
,,
P35542,17,TRUE
,,
P81172,17,TRUE
,,
Q3SXY7,17,TRUE
,,
Q6P1M9,17,TRUE
,,
Q8N427,17,TRUE
,,
SHOX2,17,TRUE
,,
VSX1,17,TRUE
,,
P24855,18,TRUE
,,
Q17RH7,18,TRUE
,,
Q4KMZ8,18,TRUE
,,
Q9NZS9,18,TRUE
,,
SCAMP2,18,TRUE
,,
CCL8,19,TRUE
,,
cd248,19,TRUE
,,
HOXB13,19,TRUE
,,
PDLIM1,19,TRUE
,,
PLIN4,19,TRUE
,,
FBXO45,20,TRUE
,,
KLK10,20,TRUE
,,
ZNF804A,20,TRUE
,,
AP5Z1,21,TRUE
,,
CCL18,21,TRUE
,,
CIB2,21,TRUE
,,
FGL1,23,TRUE
,,
NFKBIZ,24,TRUE
,,
SNCG,25,TRUE
,,
AOAH,28,TRUE
,,
YBX2,28,TRUE
,,
USP9Y,29,TRUE
,,
Pcdh9,33,TRUE
,,
ZNF365,34,TRUE
,,
ASTN1,39,TRUE
,,
GREB1L,42,TRUE
,,
BHLHA15,50,TRUE
,,
LYAR,52,TRUE
,,
AAGAB,54,TRUE
,,
B4GALNT3,56,TRUE
,,
MFSD12,106,TRUE
,,
A8MT70,13,TRUE
,,
H7BZ55,13,TRUE
,,
hippo/warts,13,FALSE
,,
megf10,13,TRUE
,,
METTL18,13,TRUE
,,
MSTO1,13,TRUE
,,
NOMO1,13,TRUE
,,
P08118,13,TRUE
,,
P78562,13,TRUE
,,
Q4J6C6,13,TRUE
,,
Q5H8C1,13,TRUE
,,
Q5JU85,13,TRUE
,,
Q6TDP4,13,TRUE
,,
Q7Z465,13,TRUE
,,
Q8N6L1,13,TRUE
,,
Q8N7I0,13,TRUE
,,
Q96HY6,13,TRUE
,,
Q99592,13,TRUE
,,
Q9BVC3,13,TRUE
,,
Q9H8L6,13,TRUE
,,
Q9NX40,13,TRUE
,,
Q9UG63,13,TRUE
,,
Q9Y6X0,13,TRUE
,,
SCRT1,13,TRUE
,,
SIPA1L3,13,TRUE
,,
SKOR1,13,TRUE
,,
TCF15,13,TRUE
,,
TSPAN6,13,TRUE
,,
ZHX2,13,TRUE
,,
A6NDN3,14,TRUE
,,
bnc1,14,TRUE
,,
C4orf48,14,TRUE
,,
ccm2,14,TRUE
,,
DAZ1,14,TRUE
,,
DHDH,14,TRUE
,,
DNAI1,14,TRUE
,,
ELMOD2,14,TRUE
,,
FCGBP,14,TRUE
,,
fdr,14,FALSE
,,
FMN2,14,TRUE
,,
FRA10AC1,14,TRUE
,,
GIGYF2,14,TRUE
,,
HOXB8,14,TRUE
,,
lbh,14,TRUE
,,
MIPEP,14,TRUE
,,
MYO18B,14,TRUE
,,
Myrf,14,TRUE
,,
NOVA1,14,TRUE
,,
O75602,14,TRUE
,,
O95076,14,TRUE
,,
O95932,14,TRUE
,,
O96005,14,TRUE
,,
OTUD6B,14,TRUE
,,
p08f94,14,FALSE
,,
P56177,14,TRUE
,,
pdia2,14,TRUE
,,
PEG3,14,TRUE
,,
POU3F1,14,TRUE
,,
Q08830,14,TRUE
,,
Q14667,14,TRUE
,,
Q5TCY1,14,TRUE
,,
Q6NV74,14,TRUE
,,
Q7Z304,14,TRUE
,,
Q8IUM7,14,TRUE
,,
Q96JQ2,14,TRUE
,,
Q9BQ61,14,TRUE
,,
Q9H3T3,14,TRUE
,,
Q9NPC8,14,TRUE
,,
Q9UEE9,14,TRUE
,,
Q9Y312,14,TRUE
,,
RASEF,14,TRUE
,,
RAX2,14,TRUE
,,
RGN,14,TRUE
,,
Six5,14,TRUE
,,
SLC25A24,14,TRUE
,,
ADGRG6,15,TRUE
,,
atoh7,15,TRUE
,,
BMP8B,15,TRUE
,,
CAMK1D,15,TRUE
,,
CLCC1,15,TRUE
,,
CNPY2,15,TRUE
,,
EPSTI1,15,TRUE
,,
FNDC5,15,TRUE
,,
IPO7,15,TRUE
,,
mex3b,15,TRUE
,,
O14981,15,TRUE
,,
O15021,15,TRUE
,,
o75365,15,TRUE
,,
ogfod1,15,TRUE
,,
P20142,15,TRUE
,,
PARP12,15,TRUE
,,
PM20D1,15,TRUE
,,
Q0VAA2,15,TRUE
,,
Q2VYF4,15,TRUE
,,
Q5VWZ2,15,TRUE
,,
Q6ZSM3,15,TRUE
,,
Q6ZSY5,15,TRUE
,,
Q96AY3,15,TRUE
,,
q96qp1,15,TRUE
,,
Q99985,15,TRUE
,,
Q9UI46,15,TRUE
,,
Q9UPI3,15,TRUE
,,
TBCK,15,TRUE
,,
TCFL5,15,TRUE
,,
TIPARP,15,TRUE
,,
tip]' 'WDR35 [ciliary,15,FALSE
,,
wdr81,15,TRUE
,,
ZNF182,15,TRUE
,,
APEX2,16,TRUE
,,
CCBE1,16,TRUE
,,
CEBPE,16,TRUE
,,
CLPP,16,TRUE
,,
CTHRC1,16,TRUE
,,
FOXP4,16,TRUE
,,
LIMA1,16,TRUE
,,
P55774,16,TRUE
,,
PASD1,16,TRUE
,,
PKHD1,16,FALSE
,,
plekhh2,16,TRUE
,,
Q12768,16,TRUE
,,
Q4V321,16,TRUE
,,
Q52M75,16,TRUE
,,
Q5TZJ5,16,TRUE
,,
Q8N7U6,16,TRUE
,,
Q8TC27,16,TRUE
,,
Q8WY36,16,TRUE
,,
Q8WZ79,16,TRUE
,,
Q96P71,16,TRUE
,,
Q9UQF0,16,TRUE
,,
Smarcal1,16,TRUE
,,
B7ZBB8,17,TRUE
,,
curcumin,17,FALSE
,,
DHRS2,17,TRUE
,,
P80098,17,TRUE
,,
pdxdc1,17,TRUE
,,
Q8TEW8,17,TRUE
,,
Q96LQ0,17,TRUE
,,
Q99698,17,TRUE
,,
Q9NPR2,17,TRUE
,,
Q9ULZ0,17,TRUE
,,
ACTL7A,18,TRUE
,,
ALX4,18,TRUE
,,
C12orf57,18,TRUE
,,
CST7,18,TRUE
,,
FOXS1,18,TRUE
,,
Meg3,18,FALSE
,,
NHS,18,TRUE
,,
POTEE,18,TRUE
,,
RELT,18,TRUE
,,
CPA4,19,TRUE
,,
DNAJC17,19,TRUE
,,
ISL2,19,TRUE
,,
Q8WUY1,19,TRUE
,,
CD133,20,FALSE
,,
CLIC4,20,TRUE
,,
FOXRED1,20,TRUE
,,
serpinb11,20,TRUE
,,
ZFX,20,TRUE
,,
GPR179,21,TRUE
,,
KCNJ13,21,TRUE
,,
KLF8,21,TRUE
,,
FSCN2,22,TRUE
,,
ifi44,22,TRUE
,,
VPS13C,23,TRUE
,,
krit1,27,TRUE
,,
PIEZO2,27,TRUE
,,
FAT2,28,TRUE
,,
LOXHD1,30,TRUE
,,
ULK4,36,TRUE
,,
PCNP,38,TRUE
,,
ANKRD26,42,TRUE
,,
SOSTDC1,46,TRUE
,,
VPS13A,64,TRUE
,,
A4D2P6,12,TRUE
,,
LYNX1,12,TRUE
,,
Neurod2,12,TRUE
,,
NLRP9,12,TRUE
,,
nos1ap,12,TRUE
,,
O95409,12,TRUE
,,
Ovol1,12,TRUE
,,
P07199,12,TRUE
,,
P31271,12,TRUE
,,
pgam4,12,TRUE
,,
PPP1R3A,12,TRUE
,,
PRDM8,12,TRUE
,,
Q13702,12,TRUE
,,
Q14CZ0,12,TRUE
,,
Q5R3I4,12,TRUE
,,
Q6Q6R5,12,TRUE
,,
Q6UWI2,12,TRUE
,,
Q6ZT12,12,TRUE
,,
Q6ZWK6,12,TRUE
,,
Q7RTY1,12,TRUE
,,
Q7Z2R9,12,TRUE
,,
Q7Z7G0,12,TRUE
,,
Q8TF17,12,TRUE
,,
q96j86,12,TRUE
,,
Q99720,12,TRUE
,,
Q9HBM0,12,TRUE
,,
Q9HCM7,12,TRUE
,,
Q9NS39,12,TRUE
,,
Q9UEU5,12,TRUE
,,
Q9UHR4,12,TRUE
,,
Q9Y328,12,TRUE
,,
Q9Y5I3,12,TRUE
,,
SIM2,12,TRUE
,,
SPATA5,12,TRUE
,,
TARBP1,12,TRUE
,,
TLE6,12,TRUE
,,
TMEM106B,12,TRUE
,,
TUT1,12,TRUE
,,
USP29,12,TRUE
,,
ZC3H14,12,TRUE
,,
ZNF185,12,TRUE
,,
A1A4Y4,13,TRUE
,,
BMP2K,13,TRUE
,,
CAMK1G,13,TRUE
,,
DHX33,13,TRUE
,,
ENOSF1,13,TRUE
,,
ETV2,13,TRUE
,,
GNB1L,13,TRUE
,,
hoxd11,13,TRUE
,,
IFI44L,13,TRUE
,,
KLF16,13,TRUE
,,
KPTN,13,TRUE
,,
MACC1,13,TRUE
,,
MPLKIP,13,TRUE
,,
NBPF3,13,TRUE
,,
NCAM2,13,TRUE
,,
O14813,13,TRUE
,,
O75781,13,TRUE
,,
O94761,13,TRUE
,,
O95834,13,TRUE
,,
P02689,13,TRUE
,,
P23942,13,TRUE
,,
P35716,13,TRUE
,,
P36955,13,TRUE
,,
P41162,13,TRUE
,,
P52823,13,TRUE
,,
P54277,13,TRUE
,,
P59773,13,TRUE
,,
PARP3,13,TRUE
,,
PDZD2,13,TRUE
,,
PDZD8,13,TRUE
,,
PHPT1,13,TRUE
,,
PVT1,13,FALSE
,,
Q13286,13,TRUE
,,
Q13641,13,TRUE
,,
Q15032,13,TRUE
,,
Q16626,13,TRUE
,,
Q1HG44,13,TRUE
,,
Q49AJ0,13,TRUE
,,
Q68DQ2,13,TRUE
,,
Q6DKI7,13,TRUE
,,
Q6NUT3,13,TRUE
,,
Q6P087,13,TRUE
,,
Q6UXP3,13,TRUE
,,
Q7L8C5,13,TRUE
,,
Q8N7L0,13,TRUE
,,
Q8NBS3,13,TRUE
,,
Q8TAG5,13,TRUE
,,
Q8TB36,13,TRUE
,,
Q8TD33,13,TRUE
,,
Q8WTW4,13,TRUE
,,
Q8WUA8,13,TRUE
,,
Q96BJ8,13,TRUE
,,
Q96IZ6,13,TRUE
,,
Q96N23,13,TRUE
,,
Q96QF7,13,TRUE
,,
Q96SZ6,13,TRUE
,,
Q99680,13,TRUE
,,
Q9BR26,13,TRUE
,,
Q9BSG0,13,TRUE
,,
Q9BXM9,13,TRUE
,,
Q9H4L7,13,TRUE
,,
Q9H579,13,TRUE
,,
Q9NPH6,13,TRUE
,,
Q9NR23,13,TRUE
,,
Q9P281,13,TRUE
,,
R-MMU-975956,13,FALSE
,,
SACS,13,TRUE
,,
SLFN5,13,TRUE
,,
SMCHD1,13,TRUE
,,
TENM2,13,TRUE
,,
TESPA1,13,TRUE
,,
TFEC,13,TRUE
,,
95631,14,FALSE
,,
BARHL1,14,TRUE
,,
BCAM,14,TRUE
,,
cenpb,14,TRUE
,,
CLIC5,14,TRUE
,,
CORO2B,14,TRUE
,,
FASTKD2,14,TRUE
,,
FOXJ3,14,TRUE
,,
frem1,14,TRUE
,,
hamp,14,TRUE
,,
HMX1,14,TRUE
,,
lrrc32,14,TRUE
,,
MYLK3,14,TRUE
,,
NUSAP1,14,TRUE
,,
O60667,14,TRUE
,,
O75493,14,TRUE
,,
ONECUT2,14,TRUE
,,
OTOGL,14,TRUE
,,
P04554,14,TRUE
,,
P23759,14,TRUE
,,
P53701,14,TRUE
,,
POLR2J2,14,TRUE
,,
PRDM2,14,TRUE
,,
Q14190,14,TRUE
,,
Q4G0A6,14,TRUE
,,
Q4W5N1,14,TRUE
,,
Q52LD8,14,TRUE
,,
Q6P0Q8,14,TRUE
,,
Q6UW63,14,TRUE
,,
Q6Y7W6,14,TRUE
,,
Q86UD1,14,TRUE
,,
Q8WY54,14,TRUE
,,
Q92583,14,TRUE
,,
Q96A23,14,TRUE
,,
Q9H501,14,TRUE
,,
Q9HAC7,14,TRUE
,,
Q9HAE3,14,TRUE
,,
Q9UBC7,14,TRUE
,,
RGPD3,14,TRUE
,,
Rspry1,14,TRUE
,,
SLC22A10,14,TRUE
,,
SLC43A3,14,TRUE
,,
SOX8,14,TRUE
,,
Tfcp2l1,14,TRUE
,,
zbtb20,14,TRUE
,,
Zswim6,14,TRUE
,,
CNN3,15,TRUE
,,
DCHS1,15,TRUE
,,
dd3,15,FALSE
,,
DPP9,15,TRUE
,,
F7VJQ1,15,TRUE
,,
FCGRT,15,TRUE
,,
GPR85,15,TRUE
,,
LHX1,15,TRUE
,,
MIDN,15,TRUE
,,
not,15,FALSE
,,
OTOG,15,TRUE
,,
P01266,15,TRUE
,,
P08185,15,TRUE
,,
PCLO,15,TRUE
,,
Q96AM1,15,TRUE
,,
Q9UGT4,15,TRUE
,,
TNP1,15,TRUE
,,
ADAMDEC1,16,TRUE
,,
Alx3,16,TRUE
,,
arglu1,16,TRUE
,,
B0I1T2,16,TRUE
,,
CORO7,16,TRUE
,,
isx,16,TRUE
,,
LAMP3,16,TRUE
,,
36951,16,TRUE
,,
O43490,16,TRUE
,,
O75445,16,TRUE
,,
ODF3,16,TRUE
,,
P53814,16,TRUE
,,
Q9H8H2,16,TRUE
,,
STXBP5L,16,TRUE
,,
tmem138,16,TRUE
,,
ZBTB34,16,TRUE
,,
ANKAR,17,TRUE
,,
ANKK1,17,TRUE
,,
C2CD4B,17,TRUE
,,
CDH19,17,TRUE
,,
Emx1,17,TRUE
,,
FOXE1,17,TRUE
,,
GZMK,17,TRUE
,,
IFIT5,17,TRUE
,,
MXRA5,17,TRUE
,,
P42127,17,TRUE
,,
R-MMU-2426168,17,FALSE
,,
TMTC1,17,TRUE
,,
EPG5,18,TRUE
,,
FKBP10,18,TRUE
,,
LYL1,18,TRUE
,,
Q9Y5L0,18,TRUE
,,
tppp3,18,TRUE
,,
AVIL,19,TRUE
,,
COX6A2,19,TRUE
,,
hoxc11,19,TRUE
,,
POU3F3,19,TRUE
,,
DNAH11,20,TRUE
,,
UTF1,20,TRUE
,,
AKAP4,21,TRUE
,,
BRWD3,21,TRUE
,,
GRIN3A,21,TRUE
,,
CPA1,22,TRUE
,,
STK40,23,TRUE
,,
RILPL2,26,TRUE
,,
ATXN8OS,30,TRUE
,,
C2orf88,30,TRUE
,,
NPTX1,30,TRUE
,,
SPATA19,30,TRUE
,,
CHTF8,31,TRUE
,,
CLMP,31,TRUE
,,
DHX40,31,TRUE
,,
SPATA16,32,TRUE
,,
DDX60,33,TRUE
,,
RSRC1,34,TRUE
,,
GBX1,37,TRUE
,,
ZFAND3,39,TRUE
,,
CCDC78,40,TRUE
,,
EBF3,42,TRUE
,,
MYO3A,43,TRUE
,,
LMBR1L,44,TRUE
,,
ARL5B,47,TRUE
,,
SEZ6L,51,TRUE
,,
MYPN,52,TRUE
,,
GRINA,83,TRUE
,,
A0A0B4J266,11,TRUE
,,
A4D250,11,TRUE
,,
A4FU01,11,TRUE
,,
A5PKW4,11,TRUE
,,
A8MYZ5,11,TRUE
,,
ADGRA3,11,TRUE
,,
CARMIL3,11,TRUE
,,
LRIT3,11,TRUE
,,
LRRC37A,11,TRUE
,,
myo1f,11,TRUE
,,
NETO2,11,TRUE
,,
NEUROD6,11,TRUE
,,
Nfkbil1,11,TRUE
,,
O15335,11,TRUE
,,
O15453,11,TRUE
,,
O75309,11,TRUE
,,
O76031,11,TRUE
,,
P0CG34,11,TRUE
,,
P0CW24,11,TRUE
,,
P46095,11,TRUE
,,
P60602,11,TRUE
,,
P78414,11,TRUE
,,
P84101,11,TRUE
,,
PDE3B signalling,11,FALSE
,,
PGAP3,11,TRUE
,,
pou2f3,11,TRUE
,,
PRIMA1,11,TRUE
,,
Prrx2,11,TRUE
,,
PTOV1,11,TRUE
,,
Q01995,11,TRUE
,,
Q03938,11,TRUE
,,
Q0VDD8,11,TRUE
,,
q12980,11,TRUE
,,
Q5EBM0,11,TRUE
,,
Q5SQH8,11,TRUE
,,
Q5SZK8,11,TRUE
,,
Q5TC82,11,TRUE
,,
Q6P093,11,TRUE
,,
Q6RI45,11,TRUE
,,
Q6UXI7,11,TRUE
,,
Q6W3E5,11,TRUE
,,
Q6ZMZ3,11,TRUE
,,
Q7Z7K0,11,TRUE
,,
Q7Z7L8,11,TRUE
,,
Q86V85,11,TRUE
,,
Q8IYD9,11,TRUE
,,
Q8IZP9,11,TRUE
,,
Q8N2H3,11,TRUE
,,
Q8NDH6,11,TRUE
,,
Q92954,11,TRUE
,,
Q96EK5,11,TRUE
,,
Q96IR7,11,TRUE
,,
Q9H3Y0,11,TRUE
,,
Q9H4B0,11,TRUE
,,
Q9NT68,11,TRUE
,,
Q9UK85,11,TRUE
,,
Q9Y283,11,TRUE
,,
Q9Y6V0,11,TRUE
,,
RALGAPA1,11,TRUE
,,
rgpd8,11,TRUE
,,
rnf113a,11,TRUE
,,
SLC22A14,11,TRUE
,,
SMPX,11,TRUE
,,
SP6,11,TRUE
